intervention,fpr,tpr
renal replacement,0.0,0.0
renal replacement,0.0,0.08333333333333333
renal replacement,0.001589825119236884,0.08333333333333333
renal replacement,0.001589825119236884,0.16666666666666666
renal replacement,0.00794912559618442,0.16666666666666666
renal replacement,0.00794912559618442,0.25
renal replacement,0.06041335453100159,0.25
renal replacement,0.06041335453100159,0.3333333333333333
renal replacement,0.08267090620031796,0.3333333333333333
renal replacement,0.08267090620031796,0.4166666666666667
renal replacement,0.10492845786963434,0.4166666666666667
renal replacement,0.10492845786963434,0.5
renal replacement,0.14467408585055644,0.5
renal replacement,0.14467408585055644,0.5833333333333334
renal replacement,0.14626391096979333,0.5833333333333334
renal replacement,0.14626391096979333,0.6666666666666666
renal replacement,0.17329093799682035,0.6666666666666666
renal replacement,0.17329093799682035,0.75
renal replacement,0.19395866454689983,0.75
renal replacement,0.19395866454689983,0.8333333333333334
renal replacement,0.40540540540540543,0.8333333333333334
renal replacement,0.40540540540540543,0.9166666666666666
renal replacement,0.9157392686804452,0.9166666666666666
renal replacement,0.9157392686804452,1.0
renal replacement,1.0,1.0
