,0
0,0.88
1,0.575
2,0.605
3,0.715
4,0.585
7,0.89
8,0.735
9,0.73
10,0.75
11,0.87
12,0.815
14,0.545
15,0.76
16,0.645
17,0.825
18,0.85
19,0.525
20,0.82
23,0.755
24,0.69
25,0.65
26,0.585
27,0.73
28,0.575
29,0.745
30,0.585
31,0.72
33,0.585
35,0.755
36,0.705
37,0.795
38,0.875
42,0.96
43,0.57
44,0.615
45,0.685
46,0.675
47,0.76
48,0.56
49,0.625
50,0.505
52,0.525
53,0.83
54,0.85
55,0.735
56,0.595
59,0.58
60,0.72
61,0.655
62,0.655
64,0.505
65,0.645
67,0.695
69,0.655
70,0.63
71,0.635
72,0.725
73,0.69
74,0.775
75,0.725
76,0.72
77,0.655
78,0.52
79,0.79
80,0.59
81,0.51
82,0.565
83,0.58
84,0.8
85,0.67
86,0.52
87,0.71
88,0.52
89,0.825
91,0.815
93,0.75
94,0.665
95,0.715
96,0.55
97,0.61
98,0.78
99,0.85
100,0.645
101,0.75
102,0.675
103,0.805
104,0.815
105,0.825
106,0.65
107,0.73
108,0.915
109,0.9
110,0.91
111,0.685
112,0.65
113,0.695
116,0.75
117,0.93
118,0.83
119,0.58
120,0.695
121,0.795
122,0.72
123,0.65
126,0.905
127,0.75
128,0.795
129,0.685
130,0.665
131,0.725
132,0.835
133,0.695
134,0.79
135,0.76
136,0.675
137,0.875
138,0.795
139,0.705
140,0.8
141,0.675
142,0.855
143,0.79
145,0.705
146,0.775
147,0.59
149,0.625
150,0.525
151,0.535
152,0.84
153,0.63
154,0.84
155,0.505
156,0.525
158,0.67
159,0.76
160,0.77
161,0.655
162,0.51
163,0.845
164,0.8
165,0.805
166,0.77
167,0.795
168,0.615
169,0.625
170,0.835
171,0.515
172,0.54
173,0.615
175,0.78
176,0.565
178,0.595
179,0.68
180,0.795
181,0.885
182,0.75
183,0.695
184,0.575
185,0.865
186,0.66
187,0.8
188,0.565
189,0.82
190,0.785
191,0.62
192,0.905
193,0.66
194,0.58
195,0.67
196,0.73
197,0.685
198,0.715
200,0.785
201,0.73
202,0.77
203,0.65
204,0.77
205,0.535
206,0.68
207,0.855
208,0.73
209,0.72
210,0.58
211,0.79
212,0.835
213,0.79
214,0.645
215,0.845
216,0.81
217,0.62
218,0.54
219,0.59
220,0.555
221,0.825
222,0.925
223,0.77
225,0.825
226,0.815
228,0.625
229,0.715
230,0.67
231,0.64
233,0.545
234,0.745
235,0.74
236,0.515
238,0.765
240,0.845
241,0.965
242,0.96
243,0.735
245,0.755
247,0.695
248,0.795
249,0.725
250,0.7
251,0.875
252,0.855
253,0.84
254,0.795
255,0.73
256,0.655
257,0.885
258,0.85
259,0.88
260,0.9
261,0.91
262,0.695
263,0.745
264,0.825
265,0.8
266,0.71
267,0.885
268,0.835
269,0.695
270,0.76
271,0.875
272,0.705
273,0.665
274,0.745
275,0.525
276,0.73
277,0.785
278,0.66
279,0.58
280,0.75
281,0.715
283,0.745
284,0.535
286,0.78
287,0.705
288,0.76
289,0.875
290,0.84
291,0.545
292,0.815
293,0.665
294,0.875
295,0.815
296,0.795
297,0.825
298,0.76
299,0.775
300,0.58
301,0.53
303,0.505
306,0.645
308,0.865
309,0.645
310,0.885
311,0.74
312,0.745
313,0.575
314,0.8
315,0.59
316,0.59
317,0.77
318,0.72
319,0.71
320,0.86
321,0.565
322,0.715
323,0.83
324,0.555
325,0.56
326,0.88
327,0.68
328,0.61
333,0.875
334,0.755
335,0.555
336,0.66
337,0.52
338,0.605
339,0.865
341,0.645
343,0.775
344,0.69
345,0.925
346,0.52
347,0.86
348,0.66
350,0.605
