,0
5,0.505
19,0.685
21,0.625
23,0.835
24,0.765
27,0.645
56,0.73
68,0.79
70,0.685
75,0.56
76,0.795
78,0.52
99,0.61
100,0.585
102,0.575
118,0.555
122,0.665
125,0.73
126,0.515
127,0.54
136,0.52
137,0.505
151,0.605
156,0.77
157,0.575
162,0.82
165,0.62
167,0.52
195,0.51
198,0.58
211,0.77
214,0.71
226,0.605
239,0.54
241,0.69
263,0.52
264,0.565
273,0.535
274,0.54
293,0.79
297,0.64
306,0.52
323,0.53
326,0.595
348,0.58
373,0.6
376,0.52
381,0.56
386,0.535
393,0.65
395,0.525
439,0.61
444,0.53
468,0.635
479,0.7
484,0.875
485,0.53
499,0.695
509,0.595
511,0.675
514,0.61
536,0.695
537,0.535
539,0.71
556,0.59
558,0.84
562,0.71
568,0.68
582,0.575
584,0.76
585,0.6
586,0.65
588,0.675
589,0.505
591,0.625
592,0.53
597,0.695
600,0.755
603,0.505
610,0.525
614,0.525
626,0.555
627,0.505
633,0.56
